Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
28459998,0.38404983,5.5,3077,12,6,31.72,0,83.54996,8.703824,74.90196,10.357551,17.647058,119
34120000,0.38799915,5.6,3093,11,6,21.88,0,83.85379,5.9537416,46.27451,7.14449,17.647058,120
26879998,0.38865453,5.6,3022,12,6,4.03,0,84.10101,1.1247166,8.235294,1.3159184,17.254902,117
27329998,0.38955536,5.7,2961,12,6,4.42,0,84.395966,1.2441943,9.019608,1.4432653,17.254902,116
24129998,0.39034206,5.8,2880,12,6,4.17,0,84.63034,1.2157434,8.627451,1.3616327,17.647058,112
22579998,0.3909441,5.8,2783,12,6,3.7,0,84.80738,1.1084068,8.235294,1.2081634,17.647058,109
26689998,0.39288038,5.9,2723,12,6,8.12,0,85.02024,2.52517,16.470589,2.6514287,18.039215,105
35140000,0.39778647,5.9,2682,12,6,30.1,0,85.15601,9.450549,68.23529,9.828571,17.647058,104
34040000,0.40384507,6,2715,11,6,29.94,0,85.33084,9.310788,72.15686,9.776327,17.647058,105
29709998,0.4044759,6.1,2516,12,6,3.02,0,85.472015,0.9763589,6.27451,0.9861225,17.647058,101
28459998,0.40597227,6.1,2378,12,6,7.54,0,85.52732,2.676131,18.039215,2.4620407,17.647058,92
33399998,0.4096248,6.2,2352,12,6,22.15,0,85.565704,7.947971,17.254902,7.232653,17.647058,91
32159998,0.41095442,6.2,2320,12,6,6.55,0,85.60354,2.3764174,52.156864,2.1387756,17.647058,90
35610000,0.4169468,6.3,2373,11,6,36.38,0,85.64067,13.0540495,98.82353,11.879185,17.647058,91
34320000,0.4177219,6.3,2376,12,6,3.73,0,85.69544,1.3238688,72.94118,1.2179593,17.254902,92
34230000,0.4250521,6.4,2482,11,6,40.94,0,85.7639,14.071752,100,13.368163,16.862745,95
35560000,0.43549612,6.5,2646,10,6,48.36,0,85.89822,15.634674,100,15.79102,16.862745,101
35740000,0.4444565,6.5,2775,10,6,54.16,0,86.03943,16.527943,100,17.684898,16.862745,107
35270000,0.45376942,6.6,2897,10,6,55.56,0,86.207695,16.344183,100,18.142042,16.862745,111
35440000,0.4648633,6.6,3031,10,6,53.81,0,86.45271,15.14708,100,17.570614,16.862745,116
35200000,0.4752353,6.7,3091,10,6,52.12,0,86.70916,14.301493,95.68627,17.018776,16.862745,119
35000000,0.48132974,6.8,3188,10,6,33.23,0,86.97055,8.821636,69.803925,10.850613,16.862745,123
35300000,0.48670438,6.8,3216,10,6,31.04,0,87.227516,8.108409,74.90196,10.13551,16.862745,125
35000000,0.49354967,6.9,3263,10,6,41.24,0,87.47733,10.6874,78.43137,13.466124,17.254902,126
34210000,0.5031451,7,3259,10,6,51.18,0,87.76256,13.158927,63.137257,16.711838,17.254902,127
35460000,0.50962377,7,3323,10,6,40.4,0,88.01556,10.226231,74.5098,13.191837,17.254902,129
35350000,0.516969,7.1,3384,10,6,45.96,0,88.27648,11.455991,81.17647,15.007348,17.254902,131
35520000,0.5238773,7.2,3409,10,6,42.01,0,88.54849,10.392084,69.01961,13.717551,17.254902,132
35540000,0.5310309,7.2,3447,10,6,43.05,0,88.825554,10.569281,78.039215,14.057143,17.254902,133
34840000,0.5385834,7.3,3489,10,6,46.7,0,89.10444,11.295541,93.72549,15.2489805,17.254902,135
35280000,0.54407877,7.4,3544,10,6,29.67,0,89.44015,7.0204077,59.60784,9.688163,17.254902,138
35430000,0.5502768,7.5,3545,10,6,30.33,0,89.80509,7.1765757,58.431374,9.903674,17.254902,138
35190000,0.55849254,7.6,3573,10,6,41.36,0,90.154755,9.786454,72.54902,13.505306,16.862745,138
35510000,0.5679454,7.6,3607,10,6,52.45,0,90.48073,12.233237,80.78432,17.126532,17.254902,140
28179998,0.56967026,7.7,3571,10,6,6.88,0,90.92746,1.6046649,8.235294,2.2465308,17.254902,140
35500000,0.5768378,7.8,3444,10,6,28.59,0,91.312004,6.9667983,47.45098,9.33551,17.254902,134
33169998,0.5830276,7.9,3395,10,6,31.55,0,91.59452,7.8045764,44.313725,10.302041,17.254902,132
27919998,0.58374786,8,3282,11,6,4.29,0,91.80967,1.0943879,7.45098,1.4008164,17.254902,128
28269998,0.5843374,8.1,3169,11,6,3.66,0,91.990944,0.963792,7.8431373,1.1951021,17.254902,124
30699998,0.5897367,8.1,3116,11,6,33.2,0,92.15514,8.9593525,76.47059,10.8408165,17.254902,121
24529998,0.59054315,8.2,3051,11,6,4.19,0,92.326935,1.1594605,14.90196,1.3681635,17.254902,118
26949998,0.5949769,8.2,2979,11,6,27.57,0,92.45222,7.828216,66.666664,9.002449,17.254902,115
29709998,0.5971402,8.3,2949,11,7,12.15,0,92.58324,3.4801285,67.84314,3.9673467,16.862745,114
35580000,0.60465276,8.4,2995,10,7,42.28,0,92.72444,11.901477,90.196075,13.805714,16.862745,116
34590000,0.6115381,8.4,3076,10,7,41.94,0,92.87014,11.508146,85.09804,13.694694,16.862745,119
35020000,0.61797565,8.5,3147,10,7,38.72,0,93.044716,10.363332,91.76471,12.643266,16.862745,122
34730000,0.6243219,8.6,3223,10,7,33.05,0,93.23719,8.633471,71.37255,10.791838,16.862745,125
35450000,0.6243219,8.6,3267,10,7,0,0,93.48631,0,49.80392,0,16.862745,127
34380000,0.63058245,8.7,3280,10,7,31.72,0,93.70419,8.155552,76.47059,10.357551,17.254902,127
35600000,0.63713735,8.8,3330,10,7,36.17,0,93.913155,9.155513,79.21568,11.810612,17.254902,129
35260000,0.6428417,8.9,3344,10,7,30.47,0,94.13274,7.653375,48.235294,9.949388,17.254902,130
34840000,0.64757365,8.9,3326,10,7,25.75,0,94.339645,6.517956,48.235294,8.408163,17.647058,129
34520000,0.652735,9,3335,10,7,27.45,0,94.55527,6.8948197,50.980392,8.963265,17.647058,130
35150000,0.6573851,9.1,3324,10,7,25.33,0,94.7631,6.3623238,33.333332,8.271021,17.647058,130
31789998,0.6599157,9.2,3292,10,7,15.87,0,94.936714,4.017086,7.0588236,5.182041,17.647058,129
28959998,0.66076374,9.2,3057,11,7,3.77,0,95.135544,1.0008296,7.8431373,1.2310203,16.862745,123
28399998,0.6617237,9.3,2895,11,7,5.26,0,95.22624,1.5473434,26.666666,1.7175511,16.470589,111
35110000,0.6706207,9.4,2922,10,7,49.44,0,95.3204,14.413994,1.1764706,16.143673,16.470589,112
35640000,0.6759114,9.4,2914,10,7,32.46,0,95.409706,9.379809,82.745094,10.599184,16.862745,113
35480000,0.6820654,9.5,2964,10,7,38.01,0,95.50267,10.887217,86.27451,12.4114275,16.862745,114
34770000,0.68566227,9.5,2960,10,7,19.69,0,95.612045,5.590772,41.17647,6.429388,16.862745,115
34720000,0.69317675,9.6,2990,10,7,35.71,0,95.74301,10.052075,74.90196,11.660408,16.862745,116
34870000,0.7014701,9.7,0,10,7,39.98,0,95.8828,11.0633,5.098039,13.054694,16.862745,118
34660000,0.7032212,9.7,3098,10,7,10.78,0,96.00097,2.9333332,48.235294,3.52,17.254902,120
34900000,0.71013224,9.8,3123,10,7,37.35,0,96.13961,10.079271,35.294117,12.195918,16.862745,121
